Schlange Anfangs Länge,Schlange Entscheidungs Länge,Reisezeit
0,0,607.1240231981305
0,0,582.1938965535697
1,0,519.7206648979981
0,0,559.1733060974088
3,0,756.4395681674073
0,0,618.1310116136227
3,0,650.8459998847379
0,0,555.3402886892009
1,0,474.3627438280442
1,0,649.133777343551
0,0,538.4352040579814
1,0,711.2098724118334
3,0,545.0081339043586
0,0,470.33697771225155
0,0,499.0606104058269
0,0,613.4839786131834
0,0,696.8553344004921
2,0,851.3938241175904
1,0,521.3736598716832
0,0,617.3685315602721
1,0,731.4163530425891
0,0,624.5773156918278
0,0,495.15144911118335
0,0,526.7881121068637
0,0,494.8466379526283
0,0,473.71593135464826
2,0,663.8446190150732
1,0,485.080813060219
1,0,588.9189938777802
1,0,590.0598843412284
0,0,481.7871231148807
1,0,640.7934004645306
2,0,574.9531640794039
0,0,480.5605087699649
2,0,546.3769351282937
0,0,535.3179019435127
1,0,562.2949359406243
1,0,586.1909857958166
1,0,689.4439205474621
1,0,710.1785115295318
3,0,645.103120750171
2,0,609.4092450214622
1,0,727.8071066600129
1,0,812.4251295751097
1,0,701.6066679402002
3,0,606.3948688855903
1,0,815.6824036553161
1,0,542.1284007173242
0,0,542.1942731785471
1,0,528.6323253660496
2,0,673.9065665252756
1,0,665.6967805469484
1,0,696.1649149858922
0,0,654.1218348032132
0,0,442.83654227157575
1,0,665.8860033343967
2,0,573.5058552380856
